Woman,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36,M37,M38,M39,M40,M41,M42,M43,M44,M45,M46,M47,M48,M49,M50,M51,M52,M53,M54,M55,M56,M57,M58,M59,M60,M61,M62,M63,M64,M65,M66,M67,M68,M69,M70,M71,M72,M73,M74,M75,M76,M77,M78,M79,M80,M81,M82,M83,M84,M85,M86,M87,M88,M89,M90,M91,M92,M93,M94,M95,M96,M97,M98,M99,M100
W1,0.06688910179909482,0.1878953426452519,0.10032390600332794,0.12496341074617798,0.11203172697193715,0.12285918744674232,0.004418573277236768,0.018413605488338952,0.19189562650974748,0.04977772096295065,0.023997981949444955,0.005755294743971192,0.01816789671614687,0.04917667380490427,0.05602938193639679,0.22016838475753925,0.04774384404072604,0.09013092924755269,0.0775103717816838,0.1624906304684908,0.02501247318902899,0.2093310882925881,0.07867469497002987,0.007464525294533671,0.0004977249092677162,0.1604549005170616,0.13430117133537742,0.14012386215066594,0.12737075798780378,0.028491757014456703,0.15416045254530653,0.12971602291100462,0.15282387987445967,0.03303621941418749,0.1005154931016594,0.1672135325489771,0.021457220250594447,0.022615173483761256,0.15362422883714585,0.07944450795408942,0.1808806296987011,0.18611031453437216,0.15120389624274855,0.13398308731642602,0.079849897317963,0.04136594599751441,0.0671994747038076,0.04761890935498733,0.004359368067179689,0.14054503826855486,0.03375494516188872,0.05758818999788038,0.04215440145893388,0.07188252691113017,0.004208094237886325,0.009185475401242442,0.04193315306717293,0.12501655714603396,0.1286154479829918,0.019497429235846454,0.0017602033917563703,0.03179004376014901,0.049549360380412515,0.1467746221865925,0.0435212142850535,0.037394957535402874,0.008566784022269847,0.18494457713461818,0.06864720559077389,0.1006916395768251,0.23232535928547898,0.12355705228619528,0.1549180574636765,0.10691737371374263,0.14698383039837373,0.07812517918427142,0.27575509479961907,0.08181097950608933,0.08131825866313391,0.015740542044268196,0.08019988781483012,0.0308600234550428,0.16800041845879352,0.23189783925293236,0.17947352780814055,0.11016677332334028,0.15246440905293868,0.04338376027971006,0.0315076544915085,0.005425624041614468,0.0060491463288586764,0.006135639190912707,0.029793608941169253,0.23704052377816573,0.12757738806464286,0.006041455129746418,0.0014278746533609953,0.011715055854880195,0.08905127043900629,0.03174475266535029
W2,0.08737969095040055,0.06480001141976992,0.025949247183971583,0.19752559595023114,0.14635116059489373,0.0741489071288805,0.006984294959816089,0.004762765121497493,0.25068030647979395,0.07152911210744407,0.03793282896059226,0.004511011771996671,0.022973922395945274,0.06424129556930816,0.11070477541811559,0.20880779973411298,0.0480245438066534,0.14717667996160297,0.03341403321852535,0.07004826837195352,0.032674712597084224,0.27903764359615907,0.03391596260936964,0.00943914573703925,0.00047204253822139203,0.20960813109390322,0.057896042776401715,0.22148922802993246,0.12811960724096969,0.012282543528712353,0.15506680610384724,0.20503789530707642,0.19963944849162457,0.05221927673680725,0.07878424873454322,0.17474974432444346,0.0074000137400966805,0.00467961625671994,0.2006849737435863,0.027398257722558213,0.18903280919463897,0.2431227409143554,0.14814240327076633,0.13477081235205293,0.034422581909338036,0.06538580442398834,0.1097314280972941,0.03732379838495817,0.008613389014176014,0.18359914662039503,0.03395340017522512,0.07522956818170089,0.060574627553208714,0.1136223705942964,0.004232834832015432,0.011999323958689075,0.06847352291018122,0.10060125230126563,0.20329825234082305,0.030818951774056157,0.0027822962087398788,0.04152850201823341,0.02670036176531131,0.18560149435526463,0.018761609142158433,0.012896507391941738,0.013541236664969349,0.2415998953239665,0.08967636652001813,0.13153718783574933,0.30349515165085744,0.05326434842942662,0.06678379937101442,0.13967009305037095,0.11520622639088678,0.09879194228100109,0.45028626326081095,0.08549815038106404,0.12853712465240028,0.020562448324557312,0.12676935225417985,0.044344940560799496,0.057938791251519295,0.3029366665267601,0.046421666795134035,0.17413703278959497,0.2190868444069564,0.023377942425785926,0.027165340318129328,0.004252615202338545,0.008692444281113541,0.0061717123752008185,0.038920485872209594,0.37468224053791016,0.16132593985244267,0.004861579663119654,0.0007694301098451364,0.01912975979145164,0.08957482842370565,0.0501778972826875
W3,0.05628360013976537,0.17391426486584913,0.0557153512654569,0.09253202089668669,0.09426870378368883,0.07505346794424526,0.0032718338302503394,0.010226082084685955,0.16146990198021388,0.03685905409295228,0.01776985562385722,0.0029056635476652623,0.013452835422377943,0.039724358129881565,0.051860299639005285,0.09781723525722895,0.04861040706729134,0.09480044292625311,0.07174291357152397,0.15039988829776368,0.0210466578502772,0.13300436072859628,0.07282060080164215,0.004864005340793003,0.0002211310883569353,0.1350142133511253,0.1243079746128281,0.10272034528023598,0.12449526714723948,0.02637171792629769,0.1569585043364523,0.0960512014754149,0.1285931177921427,0.024462425656660614,0.050747045507449476,0.14070124057296926,0.0198606130062109,0.011303498301608062,0.10341325489608222,0.07353313288105441,0.15220137154134172,0.1566018715066722,0.09542249118469172,0.13641491474855416,0.07390835768551177,0.030630362572512344,0.07068095291501147,0.024041258571040714,0.004034992469795374,0.11826112958273288,0.03436760608244805,0.04845738052140204,0.031214192485576744,0.05322706416646662,0.004284472228643505,0.00772908606442338,0.044105630744623696,0.12728563975360177,0.08571262999626968,0.014437318241477282,0.001303382934699554,0.026749620839520424,0.05732806135462659,0.10868263218950641,0.040282850452256456,0.03461244146821634,0.006343471528447538,0.15562096585969867,0.05776295040989278,0.08303209447263599,0.19548935884392724,0.11436331318714534,0.143390781798718,0.08996524916977709,0.07420741718435013,0.0578495790861526,0.2900414468641976,0.06883956180774403,0.0602139679524506,0.01324482390365638,0.05938584463149156,0.022851011493391065,0.15394470226594975,0.19512962361178338,0.09468789135993286,0.0815755116670233,0.11289576525038146,0.05019453030301508,0.013998338840489838,0.0027392233938269947,0.004479229009249704,0.006247002617423874,0.02506972776225859,0.17552208737447278,0.08407616426591433,0.006151109091367644,0.00165203516465481,0.01232199083289262,0.0906675738595119,0.023506129509834817
W4,0.010779373963813427,0.03506091694982664,0.018720251853745346,0.018654349615086788,0.01900446289944754,0.02521782220700771,0.0006595979592848578,0.0034359440935820234,0.03255214762050615,0.014861486323724027,0.003439087273319905,0.0009762974149687404,0.0027120762396776734,0.0071741783900802405,0.010454977112077797,0.03286640464542296,0.009799802485427054,0.019111660902617653,0.014463289347829261,0.030320445519167783,0.00424298215864688,0.02319007744918964,0.014680549861233422,0.0008691486068143824,7.429962429943761e-05,0.05443742208267266,0.025060345552812415,0.018616556266720475,0.022483717730939077,0.005316508181496164,0.03164265501368878,0.019363812396057674,0.02592422551828826,0.00448775330908576,0.017050910586682805,0.028365209226923798,0.01334625624720952,0.003375959012745062,0.018241994704644396,0.014379469648347331,0.030683622481323912,0.06314151648593175,0.028855597680437918,0.0275010908415479,0.014899840405320608,0.006175046072996492,0.01424919929368282,0.008077817066728771,0.0008134498684498162,0.023841308508483854,0.006928470091573732,0.009768952508740655,0.02097581838646926,0.010730515278106069,0.0008637447025876839,0.0015581749134370377,0.008891644729371645,0.02566063944064037,0.051198720612153144,0.0027359140393636936,0.00026276050939566065,0.005392692976721673,0.010401544460079754,0.021910294385708518,0.02706992197751933,0.006977828625408908,0.001278836607244644,0.0313730087860672,0.021193799460681947,0.015031096196610914,0.039410431227643886,0.07685171059917431,0.02890741766291293,0.018136891369693535,0.024933550763921453,0.011662409000702425,0.05847202406517522,0.046259923172786974,0.012139067092793446,0.0026701413553360718,0.011972118378133636,0.004376400900564137,0.05580043960870534,0.036584255385021,0.028466008842464155,0.01644552988165347,0.022759657193640655,0.02023831983704226,0.004656381023350034,0.0009203738404482604,0.0009030074468802047,0.0012593885850812536,0.005054028453073208,0.035385052129240466,0.015045202565488441,0.0012400565598694232,0.00033304840031859486,0.002484099263403248,0.01827847922413203,0.0047388088331449
W5,0.0928704192777622,0.08608985915808827,0.013789917540940241,0.20993762640337793,0.09332850802104548,0.039404122509175674,0.007423171153647896,0.0025310228781081916,0.26643245031241064,0.0760238284174652,0.0403164361380211,0.0023972364177280913,0.030521935105282443,0.06827806312401415,0.07059671736513805,0.1109643882854977,0.0510422899238546,0.15642490637443066,0.03551369020665206,0.07444993204516147,0.03472791246645717,0.13879555273146346,0.03604715962578745,0.011537120635141439,0.000250852274508753,0.22277939881669612,0.06153409000061284,0.2354070751328678,0.08170219999238759,0.007832609304761925,0.16481082894997046,0.21792198047263528,0.21218430832311608,0.05550060972041641,0.04186743013667637,0.2321632442214883,0.009831265870093319,0.00292203231056907,0.17916824675553092,0.036399872420275814,0.1506833801099539,0.2583999856155526,0.0787256566996838,0.14323948406551779,0.03658561365658712,0.06949449014550124,0.11662668549752525,0.01983456777741006,0.005492780121662792,0.19513607269856406,0.03608694967768534,0.04797408731796985,0.06438099056283046,0.0724572752431591,0.00449881592973278,0.01275333243883536,0.07277623338933124,0.13365348943597474,0.20310864119905067,0.01965332407446292,0.0017742773817358039,0.04413805258935916,0.028378147885873534,0.14794818233967694,0.019940543259037043,0.010280169530940346,0.014392135208271126,0.25678144809343,0.09531141238240078,0.13980266640972602,0.3225660525462633,0.05661135118920892,0.0709803317119609,0.14844662370704514,0.06122275343365359,0.13124973608153676,0.4785811623868719,0.11358830906528547,0.13661408651585163,0.013112725690661435,0.13473523157799683,0.04713146931438094,0.0769744058580736,0.19318348414107459,0.024422652539884848,0.18507938253220582,0.13971223892196172,0.024846955755045183,0.014436172282869603,0.0022599196253300312,0.009238656444709026,0.006559527845801177,0.04136615501991262,0.3982263658318369,0.11959563188291043,0.006458836955638353,0.0008177792359876147,0.0203318276042363,0.09520349387783023,0.05333095492137708
W6,0.02758222229341991,0.08608894705059368,0.04596590479698878,0.05725510967720176,0.051330135571709894,0.05629100718451915,0.0020244797744741576,0.008436653541163176,0.0879217770768711,0.0760230229578635,0.020011400827037566,0.0026369321213551454,0.008324075926511774,0.01825053290969145,0.03208907700220904,0.1008756478514317,0.043750070690937705,0.049554885308229976,0.07102662789022382,0.0744491432607256,0.011460089694932755,0.05872057324525674,0.036046777712229056,0.0024966429346686653,0.00022804510615576315,0.24505474235731678,0.061533438057338574,0.1078580989468211,0.04727005774345261,0.013054210532652209,0.1412649281203865,0.05943263771621358,0.14004015977573364,0.013017277817107285,0.04605368521417014,0.1532261177641848,0.03277053903164837,0.007771280191837863,0.04575140684866411,0.03348752782820218,0.08204623119471967,0.2842369727025584,0.07360770914471504,0.061387699914606395,0.036585226038199345,0.01895284196267291,0.038486398452982025,0.0218177933968717,0.00249669178481208,0.06439422173741158,0.015465671718239172,0.02638546847234658,0.0643803084571263,0.032934776168447706,0.001928043542373873,0.004208555115413734,0.024015902571358338,0.05441548702708723,0.14732095451935837,0.007950578685104027,0.0008064811743486755,0.014565403034872302,0.024121170140567628,0.06724846129714199,0.06646777330784803,0.01713343435713864,0.007850172396018111,0.1694739601747007,0.09016364083510776,0.038291544632887774,0.1064456695544559,0.18870250467173197,0.1419591593747073,0.04898686681025895,0.06734431526783133,0.07159000664333756,0.15793011032713675,0.12494581617800242,0.037257992485285905,0.0072119227199530095,0.03674558293118466,0.012725361890397838,0.21552605291634105,0.09349981569905391,0.06578422568622917,0.1009513208986126,0.0698553793472122,0.0828223083525071,0.013569858174022339,0.0024113086925487736,0.0027715675688120486,0.0028111964351628343,0.02730137305664855,0.10860604000659707,0.04325504884784556,0.005536087307445773,0.0008177705717549471,0.012882109484827254,0.04080106509125034,0.014544651787890354
W7,0.034374837854474524,0.11421181839134321,0.018294507311544306,0.060767012839276296,0.03714450939893267,0.024644306943713758,0.0021486569345846866,0.003357802279220813,0.1060394392309191,0.024205832657764995,0.01096951922502044,0.0009540940119784773,0.008834656532024188,0.02282657654591809,0.02043441046768488,0.032118941816990966,0.0319231029621478,0.06163414869660793,0.04711452865592816,0.09876961353108395,0.013821621049859137,0.04390893879154259,0.04782226024024569,0.00275867668219585,7.260986821174135e-05,0.08866563549231204,0.08163470565239365,0.059281115785912324,0.042922794158428194,0.010391195434564342,0.10307674419967554,0.06307810568409893,0.08444881635777084,0.014297673198987879,0.016663130968195147,0.09240038215469126,0.01304272957457401,0.0032167018714033685,0.05772593474190098,0.04587568008635682,0.0599716029693199,0.10284253866156944,0.027572698228627502,0.08958549479049582,0.0485366047005479,0.020115367822710055,0.04641712492234764,0.007894107651068844,0.0015899000379049444,0.07766366183404703,0.022569665504215648,0.019093565032516264,0.020498776717051068,0.020972953969385172,0.002813670083118494,0.005075793952853187,0.02896475624081931,0.08191837452164405,0.048783477460722355,0.00523361110383727,0.0005135693790745952,0.017566832943331025,0.03313033051513846,0.04282400087018457,0.026454285412916636,0.013638271301430848,0.004165842397899665,0.10219836483432414,0.03376099327031049,0.047851351609966786,0.12838047049760465,0.07510391379590285,0.09416663976598147,0.059081379596069024,0.02436650053199263,0.03799059051136362,0.1904740883720402,0.045207858811296374,0.03954331622947788,0.0052188315552260485,0.03899947659440272,0.013956104672506226,0.08884329287210319,0.06996674825347603,0.02716406602313496,0.053571727028151835,0.04448409329001593,0.032963417829059635,0.004458554514271254,0.000899442277004734,0.002941569459712103,0.004102489976781455,0.016463624743560296,0.11526769688700364,0.028661617751084972,0.004039515418649103,0.0010849135368350034,0.008011095642491216,0.05954260559140425,0.015436788907060076
W8,0.053044527244598426,0.04917169444381226,0.007876347090814988,0.11990946342251338,0.0533061724596465,0.022506338037906914,0.0042398710758838835,0.0014456369752457842,0.1521774476668684,0.043422308944980996,0.02302742155962735,0.0013692225518181736,0.017433124894243847,0.03899818271260259,0.04032252171118348,0.06337920689241142,0.0291536762679493,0.089344758777234,0.0202842511358626,0.04252335113204012,0.019835440749604902,0.1016351950459982,0.020588951312275644,0.007162634385751085,0.00014327856397150168,0.12724426121867558,0.03514624720005603,0.1344567743697767,0.046665607920622076,0.004473728673713709,0.09413452178238313,0.12446986371198053,0.12119269419963588,0.03170012181813627,0.02391329829042809,0.13260400490352814,0.005615295530596658,0.001775498612177146,0.12182738851028617,0.020790409253159902,0.08606538792125962,0.14758956817017507,0.044965504346066984,0.0818136794697872,0.02089649853483411,0.039692965796216687,0.06661332472095369,0.01132885238416912,0.003137295245116839,0.11145530304654759,0.020611678080479933,0.027401219910096156,0.036772303113334064,0.04138521114252616,0.002569575608778215,0.007284283793184183,0.041567389539114555,0.07633847480022964,0.12341379979466044,0.011225331945544446,0.001013408851245443,0.025210203112116237,0.016208664183816248,0.08450313296674192,0.011389382091756732,0.005871694528826462,0.008220314004180272,0.14666511280154082,0.054438742176003196,0.07985068232607755,0.18423911397770446,0.03233454079202774,0.040541629601830616,0.08478782627271399,0.034968421998697596,0.07496552998862684,0.27334981046069967,0.06487790409194528,0.0780294704227875,0.007489557391454432,0.07695633031300066,0.02691994423592825,0.04396524749676728,0.11034004871970465,0.014090318598471024,0.10571125257635004,0.07979903312091967,0.014191763445709127,0.008245466531987055,0.0012907917189206217,0.005276816528836298,0.0037465864398398218,0.02362698644005637,0.22745379504216767,0.07345063353984184,0.003689075116987382,0.00046708858752615685,0.011612870833066597,0.054377102677652625,0.030460886397492778
W9,0.10875963667358304,0.2957357018159796,0.11842773881374445,0.11175267915970848,0.18216016650931957,0.1318450891304105,0.0039514558609293135,0.021736411073548102,0.31201642804436885,0.04451537971681249,0.02146099215172728,0.005614760089173388,0.012997795886670804,0.0799597697080913,0.06263266889150614,0.11813573292855913,0.08539303549855458,0.18318767284876483,0.15249569171168728,0.3196878110680943,0.040669517502526,0.2952153703547417,0.1547864079848964,0.005286916471854467,0.0002670642154998541,0.26089476780756665,0.2642272195282883,0.12531041619333785,0.22781105872104668,0.05605533935817883,0.2757262064077908,0.11600286038679734,0.248486961300749,0.029543736096818592,0.09806107317126919,0.21750727766153627,0.03377234369140416,0.02135693447560587,0.22730735688635406,0.12504076463239308,0.23528510370980482,0.30260968746090255,0.18438968804347905,0.23963764881725935,0.15709852816739323,0.036992870661858454,0.1365803669219821,0.046456135372810084,0.0048731370450921215,0.22852193985612324,0.06037296092041051,0.09363663814279978,0.03769797313693974,0.06428333637119722,0.007526455983112025,0.014935302469957546,0.08522753276500845,0.1788803313477984,0.11501863471556262,0.01743622345790774,0.0015741203262635548,0.05168964025822664,0.12185569188026114,0.10500646334195789,0.08562463995431535,0.05885736099372434,0.00766113105071854,0.3007142340515436,0.1116182597448238,0.16372153074106713,0.37775393877826413,0.243088992106898,0.30478935642438576,0.1738443843083225,0.14339473152771512,0.05589282835058438,0.5604617029276261,0.10641772327835484,0.07272155278048324,0.02559364063404173,0.07172141251665896,0.027597600605167177,0.264422315949006,0.3770588042621795,0.21186021280450054,0.09852029485871028,0.13634635999793024,0.10669276222062606,0.0169060596975048,0.005293139393013337,0.00540964995147388,0.010973998130293072,0.04844349821543325,0.211981358730966,0.0912722521339005,0.0086444349460809,0.003511541873956751,0.023810403789962836,0.15927411063304506,0.0283887990767225
W10,0.039189641337908504,0.08806876922279731,0.029389375758830067,0.07321478560459199,0.03281912210216075,0.03599097133615463,0.0025887969385547825,0.005394171661873866,0.11242968697379069,0.048607096888413304,0.023433620727860663,0.0016859841943133494,0.008515508051622205,0.028812110744049466,0.020516901515092868,0.06449720358415222,0.046621050707406714,0.06600848822266207,0.07568755817192625,0.09520160022416323,0.014654552488928227,0.06069673342722402,0.04609469996331372,0.0034987112839895145,0.0001458059695414299,0.1566814780744678,0.07868568412987216,0.13682856531349633,0.0373126128787928,0.008346514667195808,0.150535056814043,0.07599929251450924,0.14922991636057362,0.019355583423606052,0.02944550022056324,0.13062493373228468,0.016762088155107765,0.00529999963393245,0.09000686609641391,0.03723658042039387,0.04239044515298344,0.1817335529932841,0.055368011223689305,0.07849932195303408,0.04678323901192136,0.02423588512393239,0.04921435706462337,0.013949716234263913,0.0015963182568013582,0.0823439019724111,0.01977667749596079,0.016870166070512276,0.04116305520520987,0.021057619046604307,0.002465479419864421,0.005381676189554453,0.030710257438610937,0.05859673882981654,0.12559079484794053,0.005711672291990727,0.0005156425916130011,0.01862546184008581,0.03628808000112467,0.03439750061692369,0.04249772465536349,0.00876372942223356,0.008365318719643897,0.18059523027299598,0.0670328273115014,0.058994202861236925,0.13611705433637417,0.12065135758609552,0.15127484511607792,0.06264179688371002,0.043058162248055414,0.061030325705123366,0.20195261581544122,0.06390962270608157,0.04764353692180413,0.004611111381282499,0.04698829486818171,0.018080572445344712,0.13123963828554522,0.06793328735863936,0.05257585313057199,0.10757597819307732,0.04466366976736481,0.052954378949698795,0.009230006426380728,0.0015894088461812918,0.003544133029929631,0.0035948083141092205,0.029092951795378207,0.13887962103778762,0.029898515283386162,0.004719502446601022,0.0010457214635050064,0.014299440692934774,0.052174229513080074,0.018598926250382515
