ManID,Age,Height(inches),Education,Dating Intentions,Drinking Habits,Personality Traits,Physical Attractiveness
M1,28,67.9,Bachelor's,Open to Either,Socially,Funny and Ambitious,"Down-to-earth looks, great personality"
M2,27,70.8,Bachelor's,Casual,Often,Carefree and Ambitious,Boy-next-door charm
M3,28,70.3,High School,Casual,Socially,Athletic and Energetic,Cute in a nerdy way
M4,29,75.1,Bachelor's,Long-term,Socially,Artistic and Adventurous,Cute in a nerdy way
M5,28,70.0,Associate's,Open to Either,Socially,Compassionate and Creative,Cute in a nerdy way
M6,29,76.7,High School,Figuring it Out,Socially,Athletic and Artistic,Cute in a nerdy way
M7,28,72.3,Bachelor's,Long-term,Socially,Creative and Thoughtful,Average-looking guy with a friendly vibe
M8,28,72.0,High School,Casual,Socially,Carefree and Down-to-earth,Average-looking guy with a friendly vibe
M9,26,70.0,Bachelor's,Open to Either,Socially,Energetic and Ambitious,Boy-next-door charm
M10,26,73.2,PhD,Marriage-Oriented,Socially,Carefree and Funny,"Down-to-earth looks, great personality"
M11,29,68.0,Master's,Long-term,Socially,Charming and Athletic,Average-looking guy with a friendly vibe
M12,25,69.4,High School,Open to Either,Socially,Creative and Spontaneous,Average-looking guy with a friendly vibe
M13,27,71.8,Bachelor's,Long-term,Often,Outgoing and Compassionate,Average-looking guy with a friendly vibe
M14,28,67.0,Bachelor's,Open to Either,Socially,Creative and Easygoing,Average-looking guy with a friendly vibe
M15,28,69.1,Associate's,Long-term,Never,Intellectual and Compassionate,"Down-to-earth looks, great personality"
M16,28,74.7,High School,Long-term,Socially,Intellectual and Thoughtful,"Tall, athletic build, nice smile"
M17,28,72.2,Master's,Figuring it Out,Socially,Thoughtful and Ambitious,Average-looking guy with a friendly vibe
M18,27,68.5,Bachelor's,Open to Either,Never,Down-to-earth and Compassionate,Cute in a nerdy way
M19,27,69.6,Master's,Casual,Socially,Thoughtful and Easygoing,"Down-to-earth looks, great personality"
M20,25,69.7,Bachelor's,Casual,Socially,Charming and Outgoing,Boy-next-door charm
M21,28,70.4,Bachelor's,Open to Either,Socially,Carefree and Spontaneous,Average-looking guy with a friendly vibe
M22,27,64.8,Associate's,Open to Either,Socially,Spontaneous and Carefree,Boy-next-door charm
M23,25,69.2,Bachelor's,Casual,Socially,Compassionate and Ambitious,"Down-to-earth looks, great personality"
M24,26,66.2,Bachelor's,Long-term,Often,Ambitious and Outgoing,Average-looking guy with a friendly vibe
M25,29,72.2,High School,Long-term,Socially,Down-to-earth and Thoughtful,Average-looking guy with a friendly vibe
M26,29,73.3,PhD,Open to Either,Socially,Adventurous and Intellectual,Cute in a nerdy way
M27,27,74.8,Bachelor's,Casual,Socially,Outgoing and Down-to-earth,Cute in a nerdy way
M28,26,67.3,Master's,Long-term,Socially,Carefree and Ambitious,Cute in a nerdy way
M29,27,67.0,Associate's,Figuring it Out,Socially,Energetic and Easygoing,Cute in a nerdy way
M30,27,71.0,Associate's,Casual,Socially,Thoughtful and Down-to-earth,Average-looking guy with a friendly vibe
M31,27,72.3,Master's,Figuring it Out,Socially,Artistic and Outgoing,Boy-next-door charm
M32,27,73.1,Bachelor's,Long-term,Socially,Ambitious and Compassionate,Cute in a nerdy way
M33,26,71.4,Master's,Open to Either,Socially,Spontaneous and Down-to-earth,Cute in a nerdy way
M34,27,67.5,Bachelor's,Long-term,Socially,Artistic and Spontaneous,Average-looking guy with a friendly vibe
M35,27,71.6,High School,Open to Either,Socially,Energetic and Carefree,"Down-to-earth looks, great personality"
M36,29,69.2,Master's,Open to Either,Often,Ambitious and Spontaneous,Boy-next-door charm
M37,28,72.0,Professional (MD/JD),Casual,Often,Creative and Athletic,Average-looking guy with a friendly vibe
M38,29,66.4,High School,Casual,Often,Intellectual and Carefree,Average-looking guy with a friendly vibe
M39,28,65.4,Bachelor's,Open to Either,Socially,Funny and Energetic,Cute in a nerdy way
M40,28,68.1,Bachelor's,Casual,Often,Charming and Athletic,"Down-to-earth looks, great personality"
M41,29,68.8,Associate's,Open to Either,Often,Carefree and Creative,Boy-next-door charm
M42,25,70.4,PhD,Open to Either,Socially,Athletic and Artistic,Boy-next-door charm
M43,28,67.4,High School,Open to Either,Never,Charming and Compassionate,Boy-next-door charm
M44,27,71.6,Bachelor's,Figuring it Out,Socially,Down-to-earth and Athletic,Cute in a nerdy way
M45,27,70.5,Bachelor's,Casual,Socially,Charming and Outgoing,"Down-to-earth looks, great personality"
M46,27,70.8,Bachelor's,Long-term,Socially,Artistic and Down-to-earth,Average-looking guy with a friendly vibe
M47,27,69.2,Bachelor's,Open to Either,Never,Easygoing and Thoughtful,"Down-to-earth looks, great personality"
M48,27,70.2,High School,Open to Either,Socially,Carefree and Artistic,Average-looking guy with a friendly vibe
M49,28,71.5,Associate's,Long-term,Never,Ambitious and Easygoing,Average-looking guy with a friendly vibe
M50,28,71.9,Bachelor's,Open to Either,Socially,Spontaneous and Funny,Cute in a nerdy way
M51,27,68.9,Bachelor's,Figuring it Out,Socially,Charming and Down-to-earth,Average-looking guy with a friendly vibe
M52,28,73.5,Associate's,Open to Either,Socially,Ambitious and Carefree,"Down-to-earth looks, great personality"
M53,29,72.8,Professional (MD/JD),Marriage-Oriented,Socially,Energetic and Artistic,Average-looking guy with a friendly vibe
M54,26,69.8,Associate's,Long-term,Socially,Down-to-earth and Thoughtful,"Down-to-earth looks, great personality"
M55,25,70.3,Bachelor's,Figuring it Out,Socially,Easygoing and Spontaneous,Average-looking guy with a friendly vibe
M56,26,71.2,Bachelor's,Open to Either,Socially,Artistic and Funny,Average-looking guy with a friendly vibe
M57,26,73.2,Bachelor's,Open to Either,Never,Down-to-earth and Charming,Average-looking guy with a friendly vibe
M58,26,68.4,Bachelor's,Figuring it Out,Often,Ambitious and Thoughtful,Cute in a nerdy way
M59,28,66.4,Professional (MD/JD),Long-term,Socially,Compassionate and Easygoing,Cute in a nerdy way
M60,28,67.8,Associate's,Long-term,Socially,Creative and Funny,Average-looking guy with a friendly vibe
M61,25,70.5,Associate's,Long-term,Socially,Ambitious and Creative,Average-looking guy with a friendly vibe
M62,28,71.9,Bachelor's,Open to Either,Socially,Spontaneous and Artistic,Average-looking guy with a friendly vibe
M63,26,67.4,Bachelor's,Casual,Never,Outgoing and Adventurous,"Down-to-earth looks, great personality"
M64,28,71.4,Associate's,Long-term,Often,Energetic and Thoughtful,Cute in a nerdy way
M65,28,73.5,Professional (MD/JD),Casual,Socially,Ambitious and Down-to-earth,Average-looking guy with a friendly vibe
M66,25,69.5,Associate's,Casual,Often,Energetic and Artistic,Average-looking guy with a friendly vibe
M67,27,68.9,Master's,Long-term,Socially,Creative and Compassionate,Average-looking guy with a friendly vibe
M68,25,69.1,Master's,Open to Either,Socially,Ambitious and Spontaneous,Boy-next-door charm
M69,25,67.5,PhD,Open to Either,Socially,Thoughtful and Intellectual,"Down-to-earth looks, great personality"
M70,25,67.2,Bachelor's,Open to Either,Socially,Creative and Athletic,"Down-to-earth looks, great personality"
M71,28,69.6,Bachelor's,Open to Either,Socially,Carefree and Charming,"Tall, athletic build, nice smile"
M72,25,70.2,Professional (MD/JD),Casual,Socially,Down-to-earth and Charming,Cute in a nerdy way
