WomanID,Age,Height(inches),Education,Dating Intentions,Drinking Habits,Personality Traits,Physical Attractiveness
W1,27,65.0,High School,Open to Either,Often,Energetic and Outgoing,Charming and sweet
W2,27,63.5,Associate's,Long-term,Never,Outgoing and Creative,Cute and bubbly personality
W3,28,67.4,Associate's,Figuring it Out,Socially,Outgoing and Athletic,Charming and sweet
W4,25,68.4,Professional (MD/JD),Figuring it Out,Socially,Charming and Athletic,Elegant and graceful
W5,28,67.0,Bachelor's,Long-term,Socially,Intellectual and Thoughtful,Cute and bubbly personality
W6,27,68.9,PhD,Open to Either,Socially,Down-to-earth and Spontaneous,Cute and bubbly personality
W7,25,68.6,Bachelor's,Figuring it Out,Socially,Outgoing and Down-to-earth,Elegant and graceful
W8,27,63.8,Bachelor's,Long-term,Socially,Ambitious and Intellectual,Charming and sweet
W9,26,66.3,Associate's,Casual,Never,Creative and Artistic,Cute and bubbly personality
W10,27,65.1,Master's,Open to Either,Never,Ambitious and Funny,Charming and sweet
W11,27,65.1,Master's,Marriage-Oriented,Socially,Adventurous and Funny,Cute and bubbly personality
W12,25,65.5,Bachelor's,Long-term,Never,Carefree and Down-to-earth,Cute and bubbly personality
W13,27,62.8,Bachelor's,Open to Either,Socially,Energetic and Creative,Charming and sweet
W14,26,63.8,Associate's,Long-term,Never,Adventurous and Intellectual,Charming with a warm smile
W15,30,64.8,Master's,Open to Either,Socially,Creative and Ambitious,Charming with a warm smile
W16,27,62.7,Bachelor's,Open to Either,Never,Thoughtful and Creative,Cute and bubbly personality
W17,26,66.9,Master's,Open to Either,Socially,Funny and Thoughtful,Pretty and down-to-earth
W18,27,65.9,High School,Open to Either,Socially,Easygoing and Creative,Charming and sweet
W19,29,64.0,Bachelor's,Long-term,Socially,Intellectual and Easygoing,Pretty and down-to-earth
W20,27,66.4,Bachelor's,Casual,Socially,Spontaneous and Ambitious,Pretty and down-to-earth
W21,28,62.7,Bachelor's,Open to Either,Never,Artistic and Creative,Elegant and graceful
W22,29,67.5,Bachelor's,Long-term,Socially,Carefree and Adventurous,Cute and bubbly personality
W23,28,62.7,Bachelor's,Casual,Often,Athletic and Down-to-earth,Charming and sweet
W24,27,63.8,Associate's,Long-term,Socially,Spontaneous and Energetic,Pretty and down-to-earth
W25,25,60.9,Bachelor's,Figuring it Out,Socially,Energetic and Intellectual,Cute and bubbly personality
W26,26,67.3,Bachelor's,Long-term,Socially,Spontaneous and Intellectual,Charming and sweet
